,date,title,url
0,2023-10-21 15:38:33,Special Offer: Looking for a New Crypto Card?,https://announcements.bybit.com/en-US/article/special-offer-looking-for-a-new-crypto-card--bltaa691019e4782034/
1,2023-10-21 05:00:00,Bybit Saving - Earn 80 APY% with USDT in 7 days - Exclusive Vietnam & Malaysia,https://announcements.bybit.com/en-US/article/bybit-saving---earn-80-apy-with-usdt-in-7-days---exclusive-vietnam-malaysia-bltf33346cfda08b326/
2,2023-10-10 17:00:00,Refer VIP & Get $500 - Vietnam & Malaysia Exclusive,https://announcements.bybit.com/en-US/article/refer-vip-get-500---vietnam-malaysia-exclusive-bltb203e828793d29ca/
3,2023-10-06 08:00:00,Over 800 USDT Await: Invite Friends to Get Now (Exclusive Vietnam & Malaysia),https://announcements.bybit.com/en-US/article/over-800-usdt-await-invite-friends-to-get-now-exclusive-vietnam-malaysia--bltf8dab07a16149c27/
4,2023-09-06 10:00:00,"Copy Trading 101 Returns: Less Risk, More Gains With a 50,000 USDT Prize Pool",https://announcements.bybit.com/en-US/article/copy-trading-101-returns-less-risk-more-gains-with-a-50-000-usdt-prize-pool-blt12b443509d1baa89/
5,2023-10-25 10:00:00,Bybit Web3 IDO Incentive Plan: Get Ready for Your 200 USDT Airdrop!,https://announcements.bybit.com/en-US/article/bybit-web3-ido-incentive-plan-get-ready-for-your-200-usdt-airdrop--bltb6941104882fe624/
6,2023-10-25 10:00:00,"Double-Win Charm: Navigate Market Swings and Share 5,000 USDT",https://announcements.bybit.com/en-US/article/double-win-charm-navigate-market-swings-and-share-5-000-usdt-blt9a8627cff25c2fcf/
7,2023-10-25 09:14:33,🚀 Join Us for Crypto Ark Trading Academy 🌐,https://announcements.bybit.com/en-US/article/-join-us-for-crypto-ark-trading-academy--blted49c11067d60255/
8,2023-10-25 09:00:00,🔥  New STEEMUSDT Contract,https://announcements.bybit.com/en-US/article/-new-steemusdt-contract-blt93f5f4cf449ed8b3/
9,2023-10-25 03:00:04,Bybit Completes Integration of USDC on the Polygon PoS Network,https://announcements.bybit.com/en-US/article/bybit-completes-integration-of-usdc-on-the-polygon-pos-network-blte878034e4657b142/
10,2023-10-25 03:00:00,🎉 Bybit WSOT Throwback Merch Giveaway: Join the Celebration! 🎉,https://announcements.bybit.com/en-US/article/-bybit-wsot-throwback-merch-giveaway-join-the-celebration--blt70bc032cb342ec5c/
11,2023-10-24 10:00:00,"🔥New POLYXUSDT, POWRUSDT Perpetual Contracts",https://announcements.bybit.com/en-US/article/-new-polyxusdt-powrusdt-perpetual-contracts-bltc5a9ffce74ad45d3/
12,2023-10-24 10:00:00,"New Listing: PPT/USDT — Grab a Share of the 50,000 USDT Prize Pool!",https://announcements.bybit.com/en-US/article/new-listing-ppt-usdt-grab-a-share-of-the-50-000-usdt-prize-pool--blt4a7b4cf996a20a28/
13,2023-10-24 09:09:31,"Changes to Funding Rate Intervals and Funding Rate Limit for MINAUSDT Perpetual Contracts Oct 24, 2023, 10AM UTC",https://announcements.bybit.com/en-US/article/changes-to-funding-rate-intervals-and-funding-rate-limit-for-minausdt-perpetual-contracts-oct-24-2023-10am-utc-blt21a919b4fdbc9144/
14,2023-10-24 09:05:33,Adjustment of Handling Fee for Auto-Repayment Triggered by UTA Borrowing Limits,https://announcements.bybit.com/en-US/article/adjustment-of-handling-fee-for-auto-repayment-triggered-by-uta-borrowing-limits-blt546c3f39a6039f51/
